Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
38.0,No,Travel_Rarely,688.0,Research & Development,23.0,4,Life Sciences,4,Male,82,3,2,Healthcare Representative,4,Divorced,5745,18899,9,No,14,3,2,1,10,2,3,2,2,1,2
38.0,No,Travel_Rarely,1321.0,Sales,1.0,4,Life Sciences,4,Male,86,3,2,Sales Executive,2,Married,4440,7636,1,No,15,3,1,2,16,3,3,15,13,5,8
43.0,No,Travel_Rarely,1179.0,Sales,2.0,3,Medical,4,Male,73,3,2,Sales Executive,4,Married,7847,6069,1,Yes,17,3,1,1,10,3,3,10,9,8,8
37.0,No,Travel_Frequently,889.0,Research & Development,9.0,3,Medical,2,Male,53,3,1,Research Scientist,4,Married,2326,11411,1,Yes,12,3,3,3,4,3,2,4,2,1,2
39.0,Yes,Travel_Rarely,1162.0,Sales,7.0,2,Medical,4,Female,41,3,2,Sales Executive,3,Married,5238,17778,4,Yes,18,3,1,0,12,3,2,1,0,0,0
36.0,No,Travel_Rarely,1169.0,Human Resources,8.0,2,Medical,2,Male,63,2,1,Human Resources,4,Divorced,4936,23965,1,No,13,3,4,1,6,6,3,5,1,0,4
36.0,No,Travel_Frequently,1199.0,Research & Development,18.0,4,Life Sciences,3,Male,80,3,2,Healthcare Representative,3,Married,5689,24594,1,Yes,14,3,4,2,10,2,4,10,2,0,2
30.0,No,Travel_Rarely,288.0,Research & Development,2.0,3,Life Sciences,3,Male,99,2,2,Healthcare Representative,4,Married,4152,15830,1,No,19,3,1,3,11,3,3,11,10,10,8
39.0,No,Travel_Rarely,412.0,Research & Development,13.0,4,Medical,3,Female,94,2,4,Manager,2,Divorced,17123,17334,6,Yes,13,3,4,2,21,4,3,19,9,15,2
43.0,No,Travel_Rarely,802.0,Research & Development,6.0,3,Medical,1,Female,81,2,5,Manager,3,Married,19392,22539,7,No,13,3,4,0,21,2,3,16,12,6,14
27.0,No,Travel_Rarely,975.0,Research & Development,7.0,3,Medical,4,Female,55,2,2,Healthcare Representative,1,Single,6811,23398,8,No,19,3,1,0,9,2,1,7,6,0,7
42.0,No,Travel_Rarely,462.0,Sales,14.0,2,Medical,3,Female,68,2,2,Sales Executive,3,Single,6244,7824,7,No,17,3,1,0,10,6,3,5,4,0,3
31.0,No,Travel_Rarely,471.0,Research & Development,4.0,3,Medical,1,Female,62,4,1,Laboratory Technician,3,Divorced,3978,16031,8,No,12,3,2,1,4,0,2,2,2,2,2
39.0,Yes,Travel_Rarely,1122.0,Research & Development,6.0,3,Medical,4,Male,70,3,1,Laboratory Technician,1,Married,2404,4303,7,Yes,21,4,4,0,8,2,1,2,2,2,2
29.0,No,Travel_Rarely,694.0,Research & Development,1.0,3,Life Sciences,4,Female,87,2,4,Research Director,4,Divorced,16124,3423,3,No,14,3,2,2,9,2,2,7,7,1,7
49.0,No,Travel_Frequently,636.0,Research & Development,10.0,4,Life Sciences,3,Female,35,3,5,Research Director,1,Single,18665,25594,9,Yes,11,3,4,0,22,4,3,3,2,1,2
38.0,No,Travel_Rarely,1404.0,Sales,1.0,3,Life Sciences,1,Male,59,2,1,Sales Representative,1,Single,2858,11473,4,No,14,3,1,0,20,3,2,1,0,0,0
36.0,No,Travel_Rarely,1395.0,Research & Development,9.0,4,Medical,2,Male,48,3,2,Research Scientist,3,Single,5098,18698,1,No,19,3,2,0,10,5,3,10,7,0,8
42.0,No,Travel_Rarely,810.0,Research & Development,23.0,5,Life Sciences,1,Female,44,3,4,Research Director,4,Single,15992,15901,2,No,14,3,2,0,16,2,3,1,0,0,0
31.0,Yes,Travel_Frequently,561.0,Research & Development,7.0,3,Life Sciences,4,Female,33,3,1,Research Scientist,3,Single,4084,4156,1,No,12,3,1,0,7,2,1,7,2,7,7
34.0,No,Travel_Rarely,802.0,Sales,13.0,4,Medical,4,Male,39,3,3,Sales Executive,3,Divorced,8628,22914,1,No,18,3,3,1,9,2,2,8,7,1,1
36.0,No,Travel_Rarely,1425.0,Research & Development,14.0,1,Life Sciences,3,Male,68,3,2,Healthcare Representative,4,Married,6586,4821,1,Yes,17,3,1,1,17,2,2,16,8,4,11
27.0,No,Travel_Frequently,829.0,Sales,8.0,1,Marketing,3,Male,84,3,2,Sales Executive,4,Married,4342,24008,1,No,19,3,2,1,5,3,3,4,2,1,1
40.0,No,Non-Travel,1094.0,Sales,28.0,3,Other,3,Male,58,1,3,Sales Executive,1,Divorced,10932,11373,3,No,15,3,3,1,20,2,3,1,0,0,1
34.0,No,Travel_Rarely,971.0,Sales,1.0,3,Technical Degree,4,Male,64,2,3,Sales Executive,3,Married,7083,12288,1,Yes,14,3,4,0,10,3,3,10,9,8,6
43.0,No,Travel_Rarely,1001.0,Research & Development,7.0,3,Life Sciences,3,Female,43,3,3,Healthcare Representative,1,Married,9985,9262,8,No,16,3,1,1,10,1,2,1,0,0,0
31.0,No,Travel_Rarely,326.0,Sales,8.0,2,Life Sciences,1,Male,31,3,3,Sales Executive,4,Divorced,10793,8386,1,No,18,3,1,1,13,5,3,13,7,9,9
41.0,No,Travel_Rarely,642.0,Research & Development,1.0,3,Life Sciences,4,Male,76,3,1,Research Scientist,4,Married,2782,21412,3,No,22,4,1,1,12,3,3,5,3,1,0
31.0,No,Travel_Frequently,1125.0,Research & Development,1.0,3,Life Sciences,4,Male,48,1,2,Research Scientist,1,Married,5003,5771,1,No,21,4,2,0,10,6,3,10,8,8,7
45.0,No,Travel_Frequently,1297.0,Research & Development,1.0,4,Medical,2,Male,44,3,2,Healthcare Representative,3,Single,5399,14511,4,No,12,3,3,0,12,3,3,4,2,0,3
33.0,No,Travel_Frequently,508.0,Sales,10.0,3,Marketing,2,Male,46,2,2,Sales Executive,4,Single,4682,4317,3,No,14,3,3,0,9,6,2,7,7,0,1
27.0,No,Travel_Rarely,1220.0,Research & Development,7.0,3,Life Sciences,3,Female,85,3,1,Research Scientist,2,Single,2478,20938,1,Yes,12,3,2,0,4,2,2,4,3,1,2
36.0,No,Travel_Frequently,884.0,Research & Development,23.0,2,Medical,3,Male,41,4,2,Laboratory Technician,4,Married,2571,12290,4,No,17,3,3,1,17,3,3,5,2,0,3
33.0,No,Travel_Rarely,267.0,Research & Development,21.0,3,Medical,2,Male,79,4,1,Laboratory Technician,2,Married,2028,13637,1,No,18,3,4,3,14,6,3,14,11,2,13
31.0,No,Travel_Rarely,670.0,Research & Development,26.0,1,Life Sciences,1,Male,31,3,1,Research Scientist,3,Divorced,2911,15170,1,No,17,3,4,1,5,1,2,5,2,4,3
19.0,Yes,Travel_Frequently,602.0,Sales,1.0,1,Technical Degree,3,Female,100,1,1,Sales Representative,1,Single,2325,20989,1,No,21,4,1,0,1,5,4,0,0,0,0
32.0,No,Travel_Frequently,1311.0,Research & Development,7.0,3,Life Sciences,2,Male,100,4,1,Laboratory Technician,2,Married,2794,26062,1,No,20,4,3,0,5,3,1,5,1,0,3
36.0,No,Non-Travel,217.0,Research & Development,18.0,4,Life Sciences,1,Male,78,3,2,Manufacturing Director,4,Single,7779,23238,2,No,20,4,1,0,18,0,3,11,9,0,9
37.0,No,Travel_Rarely,802.0,Human Resources,8.0,2,Other,3,Male,89,3,2,Human Resources,2,Divorced,4071,12832,2,No,13,3,3,0,19,4,2,10,0,4,7
36.0,No,Travel_Rarely,1144.0,Sales,10.0,1,Medical,4,Male,74,3,1,Sales Representative,2,Married,1052,23384,1,No,22,4,2,0,1,5,3,1,0,0,0
36.0,No,Travel_Rarely,959.0,Sales,28.0,3,Life Sciences,1,Male,41,2,2,Sales Executive,3,Married,8639,24835,2,No,18,3,4,0,6,3,3,2,2,2,2
29.0,Yes,Travel_Rarely,805.0,Research & Development,1.0,2,Life Sciences,2,Female,36,2,1,Laboratory Technician,1,Married,2319,6689,1,Yes,11,3,4,1,1,1,3,1,0,0,0
29.0,No,Travel_Rarely,1107.0,Research & Development,28.0,4,Life Sciences,3,Female,93,3,1,Research Scientist,4,Divorced,2514,26968,4,No,22,4,1,1,11,1,3,7,5,1,7
41.0,No,Non-Travel,247.0,Research & Development,7.0,1,Life Sciences,2,Female,55,1,5,Research Director,3,Married,19973,20284,1,No,22,4,2,2,21,3,3,21,16,5,10
30.0,No,Travel_Rarely,1240.0,Human Resources,9.0,3,Human Resources,3,Male,48,3,2,Human Resources,4,Married,6347,13982,1,Yes,19,3,4,0,12,2,1,11,9,4,7
39.0,No,Travel_Rarely,1253.0,Research & Development,10.0,1,Medical,3,Male,65,3,3,Research Director,3,Single,13464,7914,7,No,21,4,3,0,9,3,3,4,3,2,2
22.0,Yes,Travel_Rarely,1294.0,Research & Development,8.0,1,Medical,3,Female,79,3,1,Laboratory Technician,1,Married,2398,15999,1,Yes,17,3,3,0,1,6,3,1,0,0,0
31.0,No,Non-Travel,979.0,Research & Development,1.0,4,Medical,3,Male,90,1,2,Manufacturing Director,3,Married,4345,4381,1,No,12,3,4,1,6,2,3,5,4,1,4
45.0,No,Travel_Rarely,1234.0,Sales,11.0,2,Life Sciences,4,Female,90,3,4,Manager,4,Married,17650,5404,3,No,13,3,2,1,26,4,4,9,3,1,1
42.0,No,Travel_Frequently,532.0,Research & Development,29.0,2,Life Sciences,1,Female,92,3,2,Research Scientist,3,Divorced,4556,12932,2,No,11,3,2,1,19,3,3,5,4,0,2
31.0,No,Travel_Frequently,798.0,Research & Development,7.0,2,Life Sciences,3,Female,48,2,3,Manufacturing Director,3,Married,8943,14034,1,No,24,4,1,1,10,2,3,10,9,8,9
51.0,No,Travel_Rarely,802.0,Research & Development,2.0,3,Medical,4,Male,84,1,2,Manufacturing Director,2,Divorced,5482,16321,5,No,18,3,4,1,13,3,3,4,1,1,2
34.0,No,Travel_Frequently,669.0,Research & Development,1.0,3,Medical,4,Male,97,2,2,Healthcare Representative,1,Single,5343,25755,1,No,20,4,3,0,14,3,3,13,9,4,9
33.0,No,Non-Travel,722.0,Sales,17.0,3,Life Sciences,4,Male,38,3,4,Manager,3,Single,17444,20489,1,No,11,3,4,0,10,2,3,10,8,6,0
36.0,No,Travel_Rarely,1224.0,Sales,7.0,4,Life Sciences,3,Female,55,3,2,Sales Executive,4,Married,5204,13586,1,Yes,11,3,4,0,10,2,3,10,8,0,9
40.0,No,Travel_Rarely,444.0,Sales,2.0,2,Marketing,2,Female,92,3,2,Sales Executive,2,Married,5677,4258,3,No,14,3,3,1,15,4,3,11,8,5,10
33.0,No,Travel_Rarely,536.0,Sales,10.0,5,Marketing,4,Male,82,4,3,Sales Executive,3,Divorced,8380,21708,1,Yes,14,3,4,2,10,3,3,9,8,0,8
34.0,No,Travel_Rarely,1400.0,Sales,9.0,1,Life Sciences,2,Female,70,3,2,Sales Executive,3,Married,5714,5829,1,No,20,4,1,0,6,3,2,6,5,1,3
34.0,No,Travel_Rarely,1397.0,Research & Development,1.0,5,Life Sciences,2,Male,42,3,1,Research Scientist,4,Married,2691,7660,1,No,12,3,4,1,10,4,2,10,9,8,8
30.0,No,Travel_Rarely,153.0,Research & Development,8.0,2,Life Sciences,2,Female,73,4,3,Research Director,1,Married,11416,17802,1,Yes,12,3,3,3,9,4,2,8,7,1,7
33.0,No,Travel_Frequently,1392.0,Research & Development,7.0,4,Life Sciences,4,Female,56,3,1,Research Scientist,3,Married,2909,23159,1,Yes,11,3,3,0,8,3,3,8,7,3,0
45.0,No,Non-Travel,248.0,Research & Development,23.0,2,Life Sciences,4,Male,42,3,2,Laboratory Technician,1,Married,3633,14039,1,Yes,15,3,3,1,9,2,3,9,8,0,8
37.0,No,Non-Travel,142.0,Sales,9.0,4,Medical,1,Male,69,3,3,Sales Executive,2,Divorced,8834,24666,1,No,13,3,4,1,9,6,3,9,5,7,7
31.0,No,Travel_Rarely,691.0,Sales,7.0,3,Marketing,4,Male,73,3,2,Sales Executive,4,Divorced,7547,7143,4,No,12,3,4,3,13,3,3,7,7,1,7
32.0,No,Travel_Frequently,1005.0,Research & Development,2.0,2,Life Sciences,4,Male,79,3,1,Laboratory Technician,4,Single,3068,11864,1,No,13,3,3,0,8,2,2,7,7,3,6
36.0,No,Travel_Rarely,640.0,Research & Development,1.0,3,Technical Degree,4,Male,84,3,1,Research Scientist,1,Single,2080,4732,2,No,11,3,2,0,5,2,2,3,2,1,2
36.0,No,Travel_Rarely,683.0,Research & Development,2.0,1,Medical,1,Male,36,2,1,Research Scientist,4,Single,3904,4050,1,No,12,3,4,0,5,2,3,4,3,1,1
30.0,Yes,Travel_Rarely,138.0,Research & Development,22.0,3,Life Sciences,1,Female,48,3,1,Research Scientist,3,Married,2132,11539,4,Yes,11,3,2,0,7,2,3,5,2,0,1
33.0,No,Travel_Frequently,1141.0,Sales,1.0,3,Life Sciences,3,Female,42,4,2,Sales Executive,1,Married,5376,3193,2,No,19,3,1,2,10,3,3,5,3,1,3
38.0,No,Travel_Rarely,168.0,Research & Development,1.0,3,Life Sciences,3,Female,81,3,3,Manufacturing Director,3,Single,7861,15397,4,Yes,14,3,4,0,10,4,4,1,0,0,0
41.0,No,Travel_Rarely,1411.0,Research & Development,19.0,2,Life Sciences,3,Male,36,3,2,Research Scientist,1,Divorced,3072,19877,2,No,16,3,1,2,17,2,2,1,0,0,0
51.0,Yes,Travel_Frequently,1150.0,Research & Development,8.0,4,Life Sciences,1,Male,53,1,3,Manufacturing Director,4,Single,10650,25150,2,No,15,3,4,0,18,2,3,4,2,0,3
38.0,No,Travel_Frequently,471.0,Research & Development,12.0,3,Life Sciences,1,Male,45,2,2,Healthcare Representative,1,Divorced,6288,4284,2,No,15,3,3,1,13,3,2,4,3,1,2
27.0,No,Travel_Rarely,728.0,Sales,23.0,1,Medical,2,Female,36,2,2,Sales Representative,3,Married,3540,7018,1,No,21,4,4,1,9,5,3,9,8,5,8
53.0,No,Travel_Rarely,102.0,Research & Development,23.0,4,Life Sciences,4,Female,72,3,4,Research Director,4,Single,14275,20206,6,No,18,3,3,0,33,0,3,12,9,3,8
30.0,No,Travel_Rarely,1358.0,Sales,16.0,1,Life Sciences,4,Male,96,3,2,Sales Executive,3,Married,5301,2939,8,No,15,3,3,2,4,2,2,2,1,2,2
30.0,Yes,Travel_Rarely,945.0,Sales,9.0,3,Medical,2,Male,89,3,1,Sales Representative,4,Single,1081,16019,1,No,13,3,3,0,1,3,2,1,0,0,0
30.0,No,Travel_Rarely,921.0,Research & Development,1.0,3,Life Sciences,4,Male,38,1,1,Laboratory Technician,3,Married,3833,24375,3,No,21,4,3,2,7,2,3,2,2,0,2
58.0,No,Travel_Rarely,1055.0,Research & Development,1.0,3,Medical,4,Female,76,3,5,Research Director,1,Married,19701,22456,3,Yes,21,4,3,1,32,3,3,9,8,1,5
34.0,No,Travel_Rarely,216.0,Sales,1.0,4,Marketing,2,Male,75,4,2,Sales Executive,4,Divorced,9725,12278,1,No,11,3,4,1,16,2,2,15,1,0,9
36.0,No,Travel_Frequently,1096.0,Research & Development,6.0,3,Other,3,Male,61,4,1,Laboratory Technician,4,Married,2544,7102,1,No,18,3,1,1,8,3,3,7,7,7,7
